ori,ori9,crosswalk_agency_name,census_name,population,fips_state_county_code,state
WV03103,WV0310300,Star City Police Department,Star City Town,1787,54061,WV
GA07809,GA0780900,Pendergrass Police Department,Pendergrass Town,1786,13157,GA
ID00702,ID0070200,Sun Valley Police Department,Sun Valley City,1786,16013,ID
MO09802,MO0980200,Slater Police Dept,Slater City,1786,29195,MO
NY04821,NY0482100,Watkins Glen Village Police Department,Watkins Glen Village,1786,36097,NY
FL01501,FL0150100,Cross City Police Department,Cross Town,1785,12029,FL
GA00201,GA0020100,Pearson Police Department,Pearson City,1785,13003,GA
PA00424,PA0042400,Industry Borough Police Department,Industry Borough,1785,42007,PA
PA06203,PA0620300,Sheffield Township Police Department,Sheffield Township,1785,42123,PA
VA08602,VA0860200,Saltville Police Department,Saltville Town,1785,51173,VA
WI00101,WI0010100,Adams Police Department,Adams City,1784,55001,WI
AL03108,AL0310800,Sardis City Police Department,Sardis City Town,1783,01055,AL
TN02603,TN0260300,Cowan Police Department,Cowan City,1783,47051,TN
TX08406,TX0840600,Kemah Police Department,Kemah City,1783,48167,TX
TX07402,,Honey Grove Police Department,,1783,48147,NA
MI67385,MI6738500,Evart Police Department,Evart City,1782,26133,MI
KS03200,KS0320000,Gove County Sheriff's Office,Gove County,1780,20063,KS
KS06501,KS0650100,Elkhart Police Dept,Elkhart City,1780,20129,KS
NC07604,NC0760400,Ramseur Police Department,Ramseur Town,1780,37151,NC
SD06700,SD0670000,Ziebach County Sheriff's Office,Ziebach County,1780,46137,SD
WA02504,WA0250400,Long Beach Police Department,Long Beach City,1780,53049,WA
PA00116,,Bonneauville Boro Police Department,,1780,42001,NA
TX15506,TX1550600,Lorena Police Department,Lorena City,1779,48309,TX
TN03102,TN0310200,Gruetli Laager Pd Gruetli,Gruetli-Laager Town,1778,47061,TN
IL08102,IL0810200,Carbon Cliff Pd,Carbon Cliff Village,1777,17161,IL
AL01501,AL0150100,Butler Police Department,Butler Town,1776,01023,AL
ID00903,ID0090300,Ponderay Police Department,Ponderay City,1776,16017,ID
LA02606,,Lafitte Police Department,,1776,22051,NA
TX19500,TX1950000,Reeves County Sheriff's Office,Reeves County,1774,48389,TX
CO00401,CO0040100,Pagosa Springs Police Department,Pagosa Springs Town,1773,08007,CO
NB03700,NB0370000,Gosper County Sheriff's Office,Gosper County,1773,31073,NE
NH00842,NH0084200,Newfields Police Department,Newfields Town,1773,33015,NH
WY00402,WY0040200,Saratoga Police Dept,Saratoga Town,1773,56007,WY
MN03002,,Braham Police Department,,1773,27059,NA
AL06601,AL0660100,Camden Police Department,Camden City,1772,01131,AL
NM00705,NM0070500,Mesilla Marshal's Office,Mesilla Town,1772,35013,NM
NY00521,NY0052100,Weedsport Village Police Department,Weedsport Village,1772,36011,NY
WI07204,,Port Edwards Village Police Department,,1772,55141,NA
NB01500,NB0150000,Chase County Sheriff's Office,Chase County,1771,31029,NE
PA00705,PA0070500,Bellwood Borough Police Department,Bellwood Borough,1771,42013,PA
ND00700,ND0070000,Burke County Sheriff's Office,Burke County,1770,38013,ND
PA0020N,PA0020N00,Aleppo Twp Pd Sewickley,Aleppo Township,1769,42003,PA
PA04909,PA0490900,Zerbe Township Police Department,Zerbe Township,1769,42097,PA
FL03509,FL0350900,Monteverde Pd,Montverde Town,1768,12069,FL
KY03800,KY0380000,Fulton County Sheriff's Office,Fulton County,1768,21075,KY
NY02227,NY0222700,West Carthage Police Dept,West Carthage Village,1767,36045,NY
PA05432,PA0543200,Cass Twp Pd Pottsville,Cass Township,1767,42107,PA
MD00107,MD0010700,Westernport Police Department,Westernport Town,1766,24001,MD
ND01700,ND0170000,Golden Valley County Sheriff's Office,Golden Valley County,1766,38033,ND
IL01904,IL0190400,Somonauk Police Dept,Somonauk Village,1765,17037,IL
KS04200,KS0420000,Hodgeman County Sheriff's Office,Hodgeman County,1765,20083,KS
MO01910,MO0191000,Lake Winnebago Police Department,Lake Winnebago City,1765,29037,MO
MO01006,MO0100600,Hallsville Police Department,Hallsville City,1764,29019,MO
NH00556,NH0055600,Lyme Police Department,Lyme Town,1764,33009,NH
WI06809,WI0680900,Butler Police Department,Butler Village,1764,55133,WI
NY01925,NY0192500,Windham Town Police Department,Windham Town,1761,36039,NY
MN06603,,Dundas Police Department,,1761,27131,NA
PA00454,PA0045400,Darlington Twp Police Dept,Darlington Township,1759,42007,PA
FL02503,FL0250300,Zolfo Springs Police Department,Zolfo Springs Town,1758,12049,FL
NH00622,NH0062200,Hancock Police Department,Hancock Town,1758,33011,NH
ND01102,ND0110200,Oakes Police Department,Oakes City,1758,38021,ND
IL08210,IL0821000,Marissa Police Department,Marissa Village,1757,17163,IL
KY03901,KY0390100,Warsaw Police Department,Warsaw City,1757,21077,KY
MA00606,MA0060600,Conway Police Department,Conway Town,1757,25011,MA
MN04004,,Waterville Police Department,,1757,27079,NA
IL05711,IL0571100,Hudson Police Dept,Hudson Village,1756,17113,IL
NH00216,NH0021600,Freedom Police Department,Freedom Town,1756,33003,NH
OH04610,OH0461000,West Liberty Police Department,West Liberty Village,1756,39091,OH
CO06101,CO0610100,Akron Pd,Akron Town,1755,08121,CO
WV01705,WV0170500,Stonewood Police Department,Stonewood City,1755,54033,WV
NY04530,NY0453000,Stillwater Village Pd Stillwater,Stillwater Village,1754,36091,NY
OH00102,OH0010200,Peebles Police Department,Peebles Village,1754,39001,OH
AR01802,AR0180200,Earle Police Department,Earle City,1753,05035,AR
FL03205,FL0320500,Sneads Police Department,Sneads Town,1753,12063,FL
GA07204,GA0720400,Hamilton Police Department,Hamilton City,1753,13145,GA
ME00513,ME0051300,Gouldsboro Police Department,Gouldsboro Town,1753,23009,ME
NC01203,NC0120300,Drexel Police Department,Drexel Town,1753,37023,NC
TX08422,TX0842200,Bayou Vista Police Department,Bayou Vista Village,1753,48167,TX
VA05503,VA0550300,Victoria Police Department,Victoria Town,1753,51111,VA
WI01008,,Thorp Police Department,,1753,55019,NA
LA04906,LA0490600,Port Barre Police Dept,Port Barre Town,1752,22097,LA
MO00701,MO0070100,Adrian Police Department,Adrian City,1752,29013,MO
WV01401,WV0140100,Romney Police Department,Romney City,1752,54027,WV
NM01200,NM0120000,Hidalgo County Sheriff's Office,Hidalgo County,1751,35023,NM
NY03659,NY0365900,Yates Town Pd Lyndonville,Yates Town,1751,36073,NY
NY03330,NY0333000,Marcellus Vlg Police Dept,Marcellus Village,1750,36067,NY
PA00502,PA0050200,Everett Borough Police Department,Everett Borough,1750,42009,PA
PA03517,PA0351700,Mayfield Police Department,Mayfield Borough,1750,42069,PA
KY12002,KY1200200,Midway Pd,Midway City,1749,21239,KY
MO10601,MO1060100,Milan Police Department,Milan City,1749,29211,MO
NH00344,NH0034400,Westmoreland Pd,Westmoreland Town,1749,33005,NH
PA00266,PA0026600,Elizabeth Borough Police Department,Elizabeth Borough,1749,42003,PA
PA06604,PA0660400,Tunkhannock Borough Police Department,Tunkhannock Borough,1749,42131,PA
IN05006,,Argos Police Department,,1749,18099,NA
AR03603,AR0360300,Lamar Police Department,Lamar City,1748,05071,AR
MD01716,MD0171600,Landover Hills Police Department,Landover Hills Town,1748,24033,MD
NJ00202,NJ0020200,Alpine Borough Police,Alpine Borough,1748,34003,NJ
FL01702,FL0170200,Century Pd,Century Town,1747,12033,FL
KS06304,KS0630400,Caney Police Department,Caney City,1747,20125,KS
LA05703,LA0570300,Delcambre Police Department,Delcambre Town,1746,22113,LA
FL04502,FL0450200,Callahan Pd,Callahan Town,1745,12089,FL
MN02102,MN0210200,Osakis Police Department,Osakis City,1745,27041,MN
SC02502,SC0250200,Estill Police Department,Estill Town,1745,45049,SC
KY04602,KY0460200,Lewisport Police Department,Lewisport City,1744,21091,KY
OK07100,OK0710000,Tillman County Sheriff's Office,Tillman County,1743,40141,OK
ND02200,ND0220000,Kidder County Sheriff's Office,Kidder County,1742,38043,ND
IL05906,IL0590600,Girard Police Dept,Girard City,1741,17117,IL
KS09801,KS0980100,Wakeeney Police Department,Wakeeney City,1740,20195,KS
MO04812,MO0481200,Lone Jack Police Department,Lone Jack City,1738,29095,MO
MO08503,MO0850300,Richland Police Dept,Richland City,1738,29169,MO
AL01603,AL0160300,Grove Hill Police Department,Grove Hill Town,1737,01025,AL
KY01002,KY0100200,Catlettsburg Police Department,Catlettsburg City,1736,21019,KY
MI03392,MI0339200,Fennville Pd,Fennville City,1736,26005,MI
NJ01704,NJ0170400,Lower Alloways Creek Police,Lower Alloways Creek Township,1734,34033,NJ
TX23402,TX2340200,Edgewood Police Department,Edgewood Town,1734,48467,TX
IN08902,IN0890200,Cambridge City Police Dept,Cambridge City Town,1733,18177,IN
LA04007,LA0400700,Woodworth Police Department,Woodworth Town,1733,22079,LA
OK02901,OK0290100,Hollis Police Department,Hollis City,1733,40057,OK
ID03201,ID0320100,Shoshone Police Department,Shoshone City,1732,16063,ID
IL08701,IL0870100,Moweaqua Police Dept,Moweaqua Village,1732,17173,IL
NH00710,NH0071000,Bradford Police Department,Bradford Town,1732,33013,NH
OH06009,OH0600900,Roseville Police Department,Roseville Village,1732,39119,OH
NJ01302,NJ0130200,Allentown Borough Police,Allentown Borough,1731,34025,NJ
NC08407,NC0840700,Badin Police Department,Badin Town,1731,37167,NC
TX00900,TX0090000,Bailey County Sheriff's Office,Bailey County,1731,48017,TX
VA08203,VA0820300,Dayton Police Department,Dayton Town,1731,51165,VA
WI02101,WI0210100,Crandon Police Department,Crandon City,1731,55041,WI
KS04611,KS0461100,Westwood Police Department,Westwood City,1730,20091,KS
NH00618,NH0061800,Greenfield Police Department,Greenfield Town,1730,33011,NH
OH03111,OH0311100,Fairfax Police Department,Fairfax Village,1730,39061,OH
OH08609,OH0860900,West Unity Police Department,West Unity Village,1730,39171,OH
WI01372,WI0137200,Mazomanie Pd,Mazomanie Town,1730,55025,WI
CO00900,CO0090000,Cheyenne County Sheriff's Office,Cheyenne County,1729,08017,CO
MA00622,MA0062200,Shutesbury Police Department,Shutesbury Town,1729,25011,MA
MI12790,MI1279000,Union City Police Department,Union City Village,1729,26023,MI
OH08201,OH0820100,Mcarthur Police Department,Mcarthur Village,1729,39163,OH
PA00644,PA0064400,Heidelberg Township Police Department,Heidelberg Township,1729,42011,PA
MO10403,MO1040300,Bloomfield Police Department,Bloomfield City,1728,29207,MO
MT03800,MT0380000,Powder River County Sheriff's Office,Powder River County,1728,30075,MT
NB01103,NB0110300,Tekamah Police Dept,Tekamah City,1728,31021,NE
NY05026,NY0502600,Painted Post Village Police Department,Painted Post Village,1728,36101,NY
TX20508,TX2050800,Gregory Police Department,Gregory City,1728,48409,TX
MI75822,MI7582200,White Pigeon Police Department,White Pigeon Village,1727,26149,MI
NH00200,NH0020000,Carroll County Sheriff's Office,Carroll County,1727,33003,NH
NY05828,NY0582800,Sodus Village Police Department,Sodus Village,1727,36117,NY
NC01806,NC0180600,Claremont Police Department,Claremont City,1727,37035,NC
SC00102,SC0010200,Calhoun Falls Police Department,Calhoun Falls Town,1727,45001,SC
AR00408,AR0040800,Decatur Police Department,Decatur City,1726,05007,AR
FL02003,FL0200300,Havana Police Department,Havana Town,1726,12039,FL
MO04914,MO0491400,Duenweg Police Department,Duenweg City,1726,29097,MO
CO01001,CO0100100,Idaho Springs Police Department,Idaho Springs City,1725,08019,CO
IL08111,IL0811100,Hampton Police Dept,Hampton Village,1725,17161,IL
MA01439,MA0143900,Phillipston Police Department,Phillipston Town,1725,25027,MA
KS04619,KS0461900,Edgerton Pd,Edgerton City,1724,20091,KS
MS02701,MS0270100,Belzoni Police Department,Belzoni City,1724,28053,MS
NJ01510,NJ0151000,Island Heights Police,Island Heights Borough,1724,34029,NJ
KY02701,KY0270100,Albany Police Department,Albany City,1723,21053,KY
OH00604,OH0060400,Cridersville Police Department,Cridersville Village,1722,39011,OH
VT01106,VT0110600,Proctor Pd,Proctor Town,1721,50021,VT
WA00102,WA0010200,Ritzville Police Department,Ritzville City,1721,53001,WA
GA15801,GA1580100,Gordon Police Department,Gordon City,1720,13319,GA
UT01902,UT0190200,Monticello Police Department,Monticello City,1720,49037,UT
IL01628,IL0162800,Ford Heights Police Department,Ford Heights Village,1719,17031,IL
IA05006,IA0500600,Prairie City Police Department,Prairie City City,1719,19099,IA
PA01523,PA0152300,South Coatesville Borough Police Department,South Coatesville Borough,1719,42029,PA
MI32738,MI3273800,Sebewaing Police Department,Sebewaing Village,1718,26063,MI
NY03621,NY0362100,Holley Village Police Department,Holley Village,1718,36073,NY
NC04405,NC0440500,Maggie Valley Police Department,Maggie Valley Town,1718,37087,NC
NB00800,NB0080000,Boyd County Sheriff's Office,Boyd County,1717,31015,NE
PA0020M,PA0020M00,Wilmerding Pd,Wilmerding Borough,1717,42003,PA
PA00802,PA0080200,Canton Borough Police Department,Canton Borough,1717,42015,PA
PA04035,PA0403500,Plymouth Twp Pd Plymouth,Plymouth Township,1716,42079,PA
KS00402,KS0040200,Medicine Lodge Police Department,Medicine Lodge City,1715,20007,KS
WY00203,WY0020300,Greybull Police Dept,Greybull Town,1715,56003,WY
OH06806,,Lewisburg Police Department,,1715,39135,NA
MO08601,MO0860100,Unionville Police Department,Unionville City,1714,29171,MO
IL03710,IL0371000,Orion Pd,Orion Village,1713,17073,IL
NY02228,NY0222800,Clayton Village Police Department,Clayton Village,1713,36045,NY
AL06402,AL0640200,Carbon Hill Police Department,Carbon Hill City,1712,01127,AL
KY05002,KY0500200,Munfordville Police Department,Munfordville City,1710,21099,KY
MI14297,MI1429700,Cassopolis Police Department,Cassopolis Village,1710,26027,MI
NH00632,NH0063200,Lyndeborough Police Department,Lyndeborough Town,1710,33011,NH
NY02828,NY0282800,Saint Johnsville Village Police Department,St Johnsville Village,1710,36057,NY
ID04003,ID0400300,Osburn Police Department,Osburn City,1709,16079,ID
MS06300,MS0630000,Sharkey County Sheriff's Office,Sharkey County,1709,28125,MS
NB00601,NB0060100,Albion Police Dept,Albion City,1709,31011,NE
PA03202,PA0320200,Homer City Borough Police Department,Homer City Borough,1709,42063,PA
SD01801,SD0180100,Webster Police Department,Webster City,1708,46037,SD
MN05401,,Ada City Police Department,,1708,27107,NA
CO00308,CO0030800,Columbine Valley Police Department,Columbine Valley Town,1707,08005,CO
MN03202,MN0320200,Lakefield Police Department,Lakefield City,1707,27063,MN
WI02903,WI0290300,New Lisbon Police Department,New Lisbon City,1707,55057,WI
NY05029,NY0502900,Wayland Village Police Department,Wayland Village,1706,36101,NY
NC06406,NC0640600,Sharpsburg Police Department,Sharpsburg Town,1705,37127,NC
MO07805,MO0780500,Steele Police Department,Steele City,1704,29155,MO
TN04303,TN0430300,Mcewen Police Department,Mcewen City,1704,47085,TN
VA06903,VA0690300,Stanley Police Department,Stanley Town,1704,51139,VA
WA01304,WA0130400,Soap Lake Police Department,Soap Lake City,1704,53025,WA
MS06801,MS0680100,Charleston Police Department,Charleston City,1703,28135,MS
PA00303,PA0030300,Freeport Borough Police Department,Freeport Borough,1703,42005,PA
GA09203,GA0920300,Lake Park Police Department,Lake Park City,1702,13185,GA
MI63773,MI6377300,Sylvan Lake Police Department,Sylvan Lake City,1702,26125,MI
NY05139,NY0513900,Quogue Village Police Department,Quogue Village,1702,36103,NY
AL05803,AL0580300,Ragland Police Department,Ragland Town,1701,01115,AL
NB04901,NB0490100,Tecumseh Police Dept,Tecumseh City,1701,31097,NE
NH01001,NH0100100,Sp: Sullivan County,State Of New Hampshire,1701,33019,NH
NM00600,NM0060000,De Baca County Sheriff's Office,De Baca County,1701,35011,NM
NC02001,NC0200100,Andrews Police Department,Andrews Town,1701,37039,NC
IL05101,IL0510100,Bridgeport Police Dept,Bridgeport City,1700,17101,IL
MI25593,MI2559300,Montrose Pd,Montrose City,1700,26049,MI
PA01110,PA0111000,Gallitzin Borough Police Department,Gallitzin Borough,1700,42021,PA
MO10001,MO1000100,Memphis Police Department,Memphis City,1696,29199,MO
SC02402,SC0240200,Ware Shoals Police Department,Ware Shoals Town,1696,45047,SC
KS08201,KS0820100,Plainville Police Department,Plainville City,1695,20163,KS
NY03120,NY0312000,Middleport Village Police Department,Middleport Village,1695,36063,NY
TX18901,TX1890100,Marfa Police Department,Marfa City,1695,48377,TX
KY08501,KY0850100,Edmonton Police Department,Edmonton City,1694,21169,KY
TX17102,TX1710200,Sunray Police Department,Sunray City,1694,48341,TX
MI27800,MI2780000,Wakefield Pd,Wakefield City,1692,26053,MI
MI11611,MI1161100,New Buffalo Police Department,New Buffalo City,1691,26021,MI
MS06702,MS0670200,Drew Police Department,Drew City,1691,28133,MS
NJ01012,NJ0101200,Glen Gardner Pd,Glen Gardner Borough,1691,34019,NJ
NJ01347,NJ0134700,Lake Como Police,Lake Como Borough,1691,34025,NJ
OH07003,OH0700300,Plymouth Police Department,Plymouth Village,1691,39139,OH
OK01501,OK0150100,Coalgate Police Department,Coalgate City,1691,40029,OK
MO01303,MO0130300,Hamilton Police Department,Hamilton City,1690,29025,MO
OK07002,OK0700200,Hooker Police Department,Hooker City,1690,40139,OK
TX05600,TX0560000,Dallam County Sheriff's Office,Dallam County,1690,48111,TX
IA06303,IA0630300,Pleasantville Police Department,Pleasantville City,1689,19125,IA
MA00601,MA0060100,Ashfield Police Department,Ashfield Town,1689,25011,MA
OH01209,OH0120900,South Charleston Police Department,South Charleston Village,1689,39023,OH
PA06608,PA0660800,Falls Twp Police Department Falls,Falls Township,1688,42131,PA
NY02220,NY0222000,Adams Vlg Police Dept,Adams Village,1687,36045,NY
MN07316,MN0731600,Avon Police Department,Avon City,1686,27145,MN
MN08701,MN0870100,Canby Police Department,Canby City,1686,27173,MN
MT02800,MT0280000,Mccone County Sheriff's Office,Mccone County,1686,30055,MT
OK04204,OK0420400,Langston Police Department,Langston Town,1686,40083,OK
KY06701,KY0670100,Whitesburg Police Department,Whitesburg City,1685,21133,KY
NJ01406,NJ0140600,Chester Borough Police,Chester Borough,1685,34027,NJ
OK05108,OK0510800,Haskell Police Department,Haskell Town,1685,40101,OK
FL05402,FL0540200,Crescent City Police Department,Crescent City City,1684,12107,FL
IL04305,IL0430500,Stockton Police Dept,Stockton Village,1684,17085,IL
IA08205,IA0820500,Blue Grass Police Department,Blue Grass City,1684,19163,IA
MT04601,MT0460100,Plentywood Pd,Plentywood City,1684,30091,MT
NY05424,NY0542400,Trumansburg Vlg Police Dept,Trumansburg Village,1682,36109,NY
FL03506,FL0350600,Howey-In-The-Hills Police Department,Howey In The Hills Town,1681,12069,FL
IL03802,IL0380200,Gilman Police Dept,Gilman City,1681,17075,IL
LA05105,LA0510500,Baldwin Police Department,Baldwin Town,1681,22101,LA
NY06122,NY0612200,Dundee Village Pd Dundee,Dundee Village,1681,36123,NY
PA01113,PA0111300,Patton Borough Police Department,Patton Borough,1681,42021,PA
PA05429,PA0542900,Tremont Borough Police Department,Tremont Borough,1681,42107,PA
PA06347,PA0634700,Robinson Twp Pd Bulger,Robinson Township,1681,42125,PA
CA01930,CA0193000,Hidden Hills Pd Calabasas,Hidden Hills City,1680,06037,CA
CA04702,CA0470200,Dunsmuir Pd,Dunsmuir City,1680,06093,CA
IN08904,IN0890400,Hagerstown Police,Hagerstown Town,1680,18177,IN
WA01406,WA0140600,Cosmopolis Police Department,Cosmopolis City,1680,53027,WA
NJ01018,NJ0101800,Lebanon Boro Police Department,Lebanon Borough,1679,34019,NJ
PA01007,PA0100700,Evans City Borough Police Department,Evans City Borough,1679,42019,PA
PA05453,PA0545300,East Union Township Police Department Sheppton,East Union Township,1678,42107,PA
NY00920,NY0092000,Keeseville Village,Keeseville Village,1677,36019,NY
NY05722,NY0572200,Greenwich Village Police Department,Greenwich Village,1676,36115,NY
KS04900,KS0490000,Kiowa County Sheriff's Office,Kiowa County,1675,20097,KS
WI02806,WI0280600,Palmyra Police Department,Palmyra Town,1674,55055,WI
NY00320,NY0032000,Port Dickinson Village Police Department,Port Dickinson Village,1672,36007,NY
PA00230,PA0023000,Braddock Borough Police Department,Braddock Borough,1672,42003,PA
LA04101,LA0410100,Coushatta Police Department,Coushatta Town,1671,22081,LA
MA00608,MA0060800,Erving Police Department,Erving Town,1671,25011,MA
PA06206,PA0620600,Youngsville Borough Police Department,Youngsville Borough,1671,42123,PA
AR03402,AR0340200,Tuckerman Police Department,Tuckerman City,1670,05067,AR
NH01030,NH0103000,Cornish Police Dept,Cornish Town,1670,33019,NH
VA07901,VA0790100,Warsaw Police Department,Warsaw Town,1670,51159,VA
OH01101,OH0110100,Mechanicsburg Police Department,Mechanicsburg Village,1668,39021,OH
ID01404,ID0140400,Wilder Police Department,Wilder City,1667,16027,ID
TN04801,TN0480100,Ridgely Police Department,Ridgely Town,1667,47095,TN
OH06706,OH0670600,Windham Police Department,Windham Village,1666,39133,OH
PA00254,PA0025400,Braddock Hills Borough Police Department,Braddock Hills Borough,1666,42003,PA
MI32294,MI3229400,Caseville Township Pd Caseville,Caseville Township,1665,26063,MI
WA03303,WA0330300,Kettle Falls Police Department,Kettle Falls City,1665,53065,WA
LA02901,LA0290100,Golden Meadow Police Department,Golden Meadow Town,1664,22057,LA
MN06909,MN0690900,Gilbert Police Department,Gilbert City,1664,27137,MN
NY00424,NY0042400,Franklinville Village Police Department,Franklinville Village,1664,36009,NY
NC08404,NC0840400,Stanfield Police Department,Stanfield Town,1664,37167,NC
KY09401,KY0940100,Owenton Police Department,Owenton City,1663,21187,KY
WA03707,WA0370700,Sumas Police Department,Sumas City,1663,53073,WA
NH00548,NH0054800,Lisbon Police Department,Lisbon Town,1662,33009,NH
IA01301,,Lake City Police Department,,1662,19025,NA
IL02506,IL0250600,Teutopolis Police Dept,Teutopolis Village,1661,17049,IL
KY11302,KY1130200,Sturgis Police Department,Sturgis City,1661,21225,KY
GA05303,GA0530300,Twin City Police Department,Twin City City,1660,13107,GA
TX02004,TX0200400,Danbury Police Department,Danbury City,1660,48039,TX
MI50220,MI5022000,Armada Police Department,Armada Village,1659,26099,MI
MN06901,MN0690100,Aurora Pd,Aurora City,1659,27137,MN
NH00546,NH0054600,Lincoln Police Department,Lincoln Town,1659,33009,NH
PA02110,PA0211000,Shiremanstown Borough Police Department,Shiremanstown Borough,1659,42041,PA
WA03912,WA0391200,Tieton Police Department,Tieton City,1658,53077,WA
CO02603,CO0260300,Crested Butte Marshal's Office,Crested Butte City,1657,08051,CO
NH00614,NH0061400,Francestown Police Department,Francestown Town,1657,33011,NH
MA308SP,MA308SP00,Sp: Hampshire County,State Of Massachusetts,1656,25015,MA
MS06301,MS0630100,Rolling Fork Police Department,Rolling Fork City,1656,28125,MS
ND04901,ND0490100,Hillsboro Police Department,Hillsboro City,1656,38097,ND
TN06205,TN0620500,Vonore Police Department,Vonore Town,1656,47123,TN
MI80345,MI8034500,Decatur Police Department,Decatur Village,1655,26159,MI
WI06205,,Galesville Police Department,,1655,55121,NA
AR05604,AR0560400,Lepanto Police Department,Lepanto City,1654,05111,AR
NC02002,NC0200200,Murphy Police Department,Murphy Town,1654,37039,NC
AL06403,AL0640300,Cordova Police Department,Cordova City,1652,01127,AL
FL05311,FL0531100,Lake Hamilton Police Department,Lake Hamilton Town,1651,12105,FL
UT02008,UT0200800,Moroni Police Department,Moroni City,1651,49039,UT
LA05305,LA0530500,Independence Police Department,Independence Town,1650,22105,LA
MS03702,,Lumberton Police Department,,1650,28073,NA
OK02803,OK0280300,Granite Police Department,Granite City,1649,40055,OK
CA01957,CA0195700,Rolling Hills Pd Palos Verdes Peninsula,Rolling Hills City,1648,06037,CA
GA14603,GA1460300,Lookout Mountain Police Department,Lookout Mountain City,1647,13295,GA
SD03600,SD0360000,Jerauld County Sheriff's Office,Jerauld County,1647,46073,SD
TX00502,TX0050200,Holliday Police Department,Holliday City,1646,48009,TX
IL08417,IL0841700,Jerome Police Dept,Jerome Village,1645,17167,IL
NC05105,NC0510500,Kenly Police Department,Kenly Town,1644,37101,NC
OR01302,OR0130200,Hines Police Department,Hines Town,1644,41025,OR
WA03002,WA0300200,Stevenson Pd,Stevenson City,1644,53059,WA
NY03225,NY0322500,Clinton Village Pd Clinton,Clinton Village,1643,36065,NY
NY05030,NY0503000,Woodhull Village,Woodhull Town,1643,36101,NY
AR00902,AR0090200,Eudora Police Department,Eudora City,1641,05017,AR
NY00121,NY0012100,Altamont Village Police Department,Altamont Village,1640,36001,NY
OH06003,OH0600300,Dresden Police Department,Dresden Village,1640,39119,OH
MN02739,MN0273900,Maple Plain Pd,Maple Plain City,1639,27053,MN
ND02600,ND0260000,Mcintosh County Sheriff's Office,Mcintosh County,1639,38051,ND
UT00701,UT0070100,Duchesne Pd,Duchesne City,1639,49013,UT
MA00205,MA0020500,Clarksburg Police Department,Clarksburg Town,1638,25003,MA
MA00716,MA0071600,Russell Police Department,Russell Town,1637,25013,MA
MN02738,MN0273800,Long Lake Pd,Long Lake City,1636,27053,MN
PA02618,PA0261800,Perryopolis Borough Police Department,Perryopolis Borough,1636,42051,PA
AL02605,AL0260500,Newton Police Department,Newton Town,1635,01045,AL
KS03102,KS0310200,Grandview Plaza Police Department,Grandview Plaza City,1635,20061,KS
OH05801,OH0580100,Mcconnelsville Police Department,Mcconnelsville Village,1635,39115,OH
TX18501,TX1850100,Bovina Police Department,Bovina City,1635,48369,TX
FL02201,FL0220100,Moore Haven Pd,Moore Haven City,1634,12043,FL
IL09103,IL0910300,Jonesboro Police Dept,Jonesboro City,1634,17181,IL
PA02206,PA0220600,Paxtang Borough Police Department,Paxtang Borough,1634,42043,PA
KY09303,KY0930300,Pewee Valley Police Department,Pewee Valley City,1633,21185,KY
MI11810,MI1181000,Watervliet Police Department,Watervliet City,1633,26021,MI
CO06224,CO0622400,Hudson,Hudson Town,1632,08123,CO
NY03422,NY0342200,Manchester Vlg Police Dept,Manchester Village,1632,36069,NY
MN02741,MN0274100,Spring Park,Spring Park City,1630,27053,MN
OH00502,OH0050200,Glouster Police Department,Glouster Village,1630,39009,OH
TN00102,TN0010200,Lake City Police Department,Lake City City,1630,47001,TN
UT00407,UT0040700,Wellington Police Department,Wellington City,1630,49007,UT
WV03401,WV0340100,Richwood Police Department,Richwood City,1630,54067,WV
KS05002,KS0500200,Oswego Police Department,Oswego City,1628,20099,KS
PA05503,PA0550300,Shamokin Dam Borough Police Department,Shamokin Dam Borough,1628,42109,PA
AR02501,AR0250100,Salem Police Department,Salem City,1627,05049,AR
MA00626,MA0062600,Whately Police Department,Whately Town,1627,25011,MA
MI08607,MI0860700,Nashville Police Department,Nashville Village,1627,26015,MI
IL05401,IL0540100,Atlanta Police Dept,Atlanta City,1626,17107,IL
KY07102,KY0710200,Auburn Police Department,Auburn City,1626,21141,KY
NY05850,NY0585000,Savannah Town Pd Savannah,Savannah Town,1626,36117,NY
MS02603,MS0260300,Tchula Police Department,Tchula Town,1625,28051,MS
NC10001,NC1000100,Burnsville Police Department,Burnsville Town,1625,37199,NC
PA00265,PA0026500,Edgeworth Borough Police Department,Edgeworth Borough,1625,42003,PA
SC03214,SC0321400,Gaston Pd,Gaston Town,1625,45063,SC
NC00502,NC0050200,Jefferson Police Department,Jefferson Town,1624,37009,NC
NC00901,NC0090100,Bladenboro Police Department,Bladenboro Town,1624,37017,NC
TX02712,TX0271200,Cottonwood Shores Police Department,Cottonwood Shores City,1624,48053,TX
MS04503,,Flora Police Department,,1624,28089,NA
WI05216,,Wind Point Police Department,,1624,55101,NA
MA00220,MA0022000,Otis Police Dept,Otis Town,1623,25003,MA
FL05220,FL0522000,Belleair Beach Pd Indian Rocks Beach,Belleair Beach City,1622,12103,FL
GA13100,GA1310000,Taliaferro County Sheriff's Office,Taliaferro County,1622,13265,GA
IL01909,IL0190900,Kirkland Police Dept,Kirkland Village,1622,17037,IL
LA01301,LA0130100,Jonesville Police Department,Jonesville Town,1622,22025,LA
